"STATION","NAME","DATE","HLY-CLDH-NORMAL","HLY-CLOD-PCTBKN","HLY-CLOD-PCTCLR","HLY-CLOD-PCTFEW","HLY-CLOD-PCTOVC","HLY-CLOD-PCTSCT","HLY-DEWP-10PCTL","HLY-DEWP-90PCTL","HLY-DEWP-NORMAL","HLY-HIDX-NORMAL","HLY-HTDH-NORMAL","HLY-PRES-10PCTL","HLY-PRES-90PCTL","HLY-PRES-NORMAL","HLY-TEMP-10PCTL","HLY-TEMP-90PCTL","HLY-TEMP-NORMAL","HLY-WCHL-NORMAL","HLY-WIND-1STDIR","HLY-WIND-1STPCT","HLY-WIND-2NDDIR","HLY-WIND-2NDPCT","HLY-WIND-AVGSPD","HLY-WIND-PCTCLM","HLY-WIND-VCTDIR","HLY-WIND-VCTSPD"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","01-01T01:00:00","0.0","170","110","99","528","94","-5.1","27.0","11.7","17.2","47.8","1.0","1.0","1.0","1.0","32.0","17.2","10.2","1","272","2","184","5.9","231","20","2.6"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","01-01T02:00:00","0.0","170","109","86","558","77","-6.0","27.0","11.7","17.2","47.8","1.0","1.0","1.0","0.1","30.9","17.2","9.8","1","311","2","180","6.2","182","18","2.8"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","01-01T03:00:00","0.0","192","113","69","554","72","-5.1","27.0","11.7","17.1","47.9","1.0","1.0","1.0","1.0","30.9","17.1","10.0","1","283","2","195","6.1","196","19","2.5"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","01-01T04:00:00","0.0","161","111","66","567","95","-6.0","27.0","11.5","17.0","48.0","1.0","1.0","1.0","0.7","30.9","17.0","9.9","1","287","2","181","6.0","200","19","2.4"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","01-01T05:00:00","0.0","169","107","73","567","84","-6.0","27.0","11.6","17.0","48.0","1.0","1.0","1.0","1.0","30.9","17.0","10.0","1","294","2","142","6.0","213","18","2.4"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","01-01T06:00:00","0.0","180","102","80","555","84","-6.0","27.0","11.6","17.0","48.0","1.0","1.0","1.0","1.0","30.9","17.0","9.7","1","279","2","165","6.1","189","11","2.5"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","01-01T07:00:00","0.0","196","105","73","560","66","-6.7","27.0","11.5","17.0","48.0","1.0","1.0","1.0","1.0","30.9","17.0","9.8","1","272","2","173","6.0","189","8","2.5"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","01-01T08:00:00","0.0","167","91","80","571","91","-7.1","27.0","11.5","16.9","48.1","1.0","1.0","1.0","0.0","30.9","16.9","9.7","1","314","2","148","6.1","198","8","2.9"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","01-01T09:00:00","0.0","223","67","72","567","70","-6.0","27.0","11.7","17.0","48.0","1.0","1.0","1.0","0.0","30.9","17.0","9.8","1","284","2","169","6.0","209","13","2.9"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","01-01T10:00:00","0.0","231","61","88","553","66","-6.7","28.0","11.7","17.1","47.9","1.0","1.0","1.0","0.0","30.9","17.1","9.7","1","300","2","162","6.2","169","6","2.8"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","01-01T11:00:00","0.0","231","56","99","535","79","-6.0","27.0","11.9","17.2","47.8","1.0","1.0","1.0","1.0","30.9","17.2","9.8","1","309","2","167","6.3","169","9","3.0"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","01-01T12:00:00","0.0","242","67","83","539","69","-5.1","28.0","12.6","18.1","46.9","1.0","1.0","1.0","1.9","32.0","18.1","10.7","1","296","2","162","6.3","167","12","2.9"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","01-01T13:00:00","0.0","215","70","95","533","86","-4.0","27.0","13.0","18.7","46.3","1.0","1.0","1.0","3.0","32.0","18.7","11.3","1","313","2","197","6.6","162","15","3.4"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","01-01T14:00:00","0.0","223","75","80","526","96","-2.9","27.0","13.2","18.9","46.1","1.0","1.0","1.0","3.9","32.0","18.9","11.7","1","290","2","229","6.2","178","17","3.2"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","01-01T15:00:00","0.0","237","54","82","540","87","-2.9","28.0","13.2","19.0","46.0","1.0","1.0","1.0","3.9","32.0","19.0","11.7","1","303","2","210","6.2","159","17","3.0"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","01-01T16:00:00","0.0","235","71","75","528","91","-5.1","28.0","12.6","18.2","46.8","1.0","1.0","1.0","1.9","32.0","18.2","11.0","1","322","2","176","6.1","176","14","3.0"
